Log : 13/05/2019 17:08:47,021 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 17:08:47,053 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,053 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,053 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,053 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,068 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:420) - Dados inseridos na planilha
Log : 13/05/2019 17:08:47,084 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 17:08:47,100 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,100 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,100 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,100 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,100 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:420) - Dados inseridos na planilha
Log : 13/05/2019 17:08:47,115 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 17:08:47,240 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,490 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,490 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,506 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,506 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:420) - Dados inseridos na planilha
Log : 13/05/2019 17:08:47,506 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 17:08:47,537 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,537 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,537 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,553 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 17:08:47,553 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:420) - Dados inseridos na planilha
Log : 13/05/2019 17:08:47,553 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 17:08:47,615 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
